iter	Logloss
0	0.6398779037
1	0.6053753315
2	0.5737477965
3	0.5459816764
4	0.5280356243
5	0.5163054086
6	0.5094074857
7	0.5011368254
8	0.4948395234
9	0.4866234855
10	0.4778688493
11	0.4718295078
12	0.4666622329
13	0.460904341
14	0.4573623535
15	0.4555668934
16	0.4522075308
17	0.4506168957
18	0.4482913792
19	0.4454844997
20	0.444453559
21	0.4433196809
22	0.4422756667
23	0.4410229799
24	0.4395172829
25	0.4385940978
26	0.4374570306
27	0.4361749045
28	0.4352529181
29	0.4333285001
30	0.4318739113
31	0.4305949384
32	0.4282781766
33	0.4281298122
34	0.4272689325
35	0.4254735041
36	0.4249945241
37	0.424084985
38	0.4224321052
39	0.4223607027
40	0.4216542256
41	0.4209459124
42	0.4208564128
43	0.4194311739
44	0.4192954215
45	0.4186960714
46	0.4173421866
47	0.4163001465
48	0.4162997089
49	0.4162487742
50	0.4148890586
51	0.4148752076
52	0.4147966047
53	0.4142320051
54	0.4141503183
55	0.4132965633
56	0.4129505072
57	0.4128393002
58	0.4125860982
59	0.4115337434
60	0.4108773465
61	0.4105259109
62	0.4102742426
63	0.4096768703
64	0.4079818347
65	0.4078143859
66	0.4077959597
67	0.4073428239
68	0.4068062922
69	0.4064972514
70	0.4064718114
71	0.4063640687
72	0.4060028807
73	0.4049961641
74	0.4045137986
75	0.4040934385
76	0.4040919724
77	0.4037552505
78	0.4037304475
79	0.4036104427
80	0.403228399
81	0.4023712583
82	0.4018497003
83	0.4006746217
84	0.3996496683
85	0.3992863408
86	0.3982217328
87	0.3974588116
88	0.3968730752
89	0.3963259944
90	0.3958495614
91	0.3945867426
92	0.393890058
93	0.3932408563
94	0.391579379
95	0.3915750915
96	0.3909920101
97	0.3904249762
98	0.3899167498
99	0.3891577242
100	0.3888695672
101	0.3872357772
102	0.3860328087
103	0.3849756208
104	0.3847129558
105	0.3841572267
106	0.383281338
107	0.3822831392
108	0.3806171839
109	0.3796740029
110	0.3795001414
111	0.3788015965
112	0.3776776968
113	0.3764784628
114	0.3762254726
115	0.3752425125
116	0.3748212606
117	0.3739152558
118	0.3725443853
119	0.3724224738
120	0.371800467
121	0.3712835596
122	0.3706317021
123	0.3696668848
124	0.3692331016
125	0.368479493
126	0.3677474685
127	0.3665913842
128	0.3650932075
129	0.3643648894
130	0.3637111877
131	0.3630691694
132	0.3621344901
133	0.361855161
134	0.3608426853
135	0.3603913404
136	0.3597253353
137	0.3591755814
138	0.3585632026
139	0.3577991249
140	0.357181463
141	0.3565772572
142	0.3564269541
143	0.3559751305
144	0.3555904939
145	0.3548826812
146	0.3542183239
147	0.3533191338
148	0.3531564856
149	0.3526369812
150	0.3522768953
151	0.3518166846
152	0.3506330484
153	0.349965679
154	0.3494618536
155	0.3485078784
156	0.3471219185
157	0.3470252854
158	0.3464207048
159	0.3461189344
160	0.345088939
161	0.3439990785
162	0.3433113397
163	0.342869367
164	0.3416178987
165	0.3414282952
166	0.3408614926
167	0.340454409
168	0.3400397146
169	0.3400174256
170	0.3397222176
171	0.3387538142
172	0.3386480243
173	0.3384350853
174	0.3377680172
175	0.3367970759
176	0.3359090126
177	0.3353668216
178	0.3347409747
179	0.3340925248
180	0.3340128137
181	0.3334572666
182	0.3330033361
183	0.3329243587
184	0.3318699275
185	0.3317583817
186	0.331345639
187	0.3312479803
188	0.3306695947
189	0.3299261455
190	0.3292436419
191	0.3290086929
192	0.3288324417
193	0.3282455328
194	0.327558493
195	0.3266967131
196	0.326149109
197	0.3255969215
198	0.3247296453
199	0.3241345531
200	0.3236726355
201	0.3227388207
202	0.322489958
203	0.3222842223
204	0.3218320049
205	0.3209005302
206	0.3205974218
207	0.3197803118
208	0.3191546153
209	0.3185894991
210	0.3185268952
211	0.3179877039
212	0.3171440537
213	0.316778878
214	0.3163969285
215	0.3159486287
216	0.3155910994
217	0.3150896174
218	0.314630629
219	0.3141993271
220	0.3141222889
221	0.3137589503
222	0.3134013202
223	0.3131298556
224	0.3122892067
225	0.3122081538
226	0.3117277171
227	0.3114653647
228	0.3110417533
229	0.3106853824
230	0.3105060405
231	0.3100850437
232	0.3097386844
233	0.3092058088
234	0.3090776517
235	0.3086437373
236	0.3079807872
237	0.3071733108
238	0.3060610457
239	0.305595176
240	0.3049255566
241	0.3043254315
242	0.3037147792
243	0.3027352987
244	0.3020876948
245	0.302011268
246	0.3016265319
247	0.3007168995
248	0.2997759422
249	0.2992892836
250	0.2990994994
251	0.2984360131
252	0.2980257574
253	0.2978711006
254	0.297301982
255	0.2967732791
256	0.296372159
257	0.2955166068
258	0.2952033624
259	0.2948925302
260	0.2942403945
261	0.2940156093
262	0.2938837565
263	0.2932186538
264	0.2927762385
265	0.2925524564
266	0.292034435
267	0.2916848132
268	0.2916023728
269	0.2912772021
270	0.2910347879
271	0.2908026808
272	0.2902260974
273	0.289976272
274	0.2896758403
275	0.2893167576
276	0.2889140003
277	0.2882705336
278	0.2876552952
279	0.2875043819
280	0.2871174898
281	0.2868678213
282	0.2864763808
283	0.2861378744
284	0.2854656476
285	0.2852870145
286	0.2850902247
287	0.28455838
288	0.2842854402
289	0.2840650169
290	0.2838434094
291	0.2835572807
292	0.2830872079
293	0.2826369834
294	0.2823015258
295	0.2819441456
296	0.2817460258
297	0.2808041482
298	0.2806766821
299	0.2803701915
300	0.2797845019
301	0.2795401006
302	0.2789822063
303	0.2786759902
304	0.2782143565
305	0.2778491749
306	0.2770660324
307	0.2769996674
308	0.2766295713
309	0.2763648869
310	0.2760091204
311	0.2750073316
312	0.2742011492
313	0.2740045207
314	0.2735958971
315	0.2735063263
316	0.2731706499
317	0.2726680389
318	0.2723140668
319	0.2721572836
320	0.2713223663
321	0.2708241497
322	0.2703080325
323	0.2699065778
324	0.269345008
325	0.2686443544
326	0.2682773615
327	0.2678310918
328	0.2674971958
329	0.2671674463
330	0.2666396525
331	0.2663285521
332	0.2661724677
333	0.2658395613
334	0.2654921102
335	0.2648167218
336	0.2642862478
337	0.2641580303
338	0.2640001661
339	0.2638641351
340	0.2635779344
341	0.263508054
342	0.2632384482
343	0.2626059306
344	0.2622989945
345	0.2619726513
346	0.2614094867
347	0.2611503879
348	0.2604823128
349	0.2603543945
350	0.2602135237
351	0.2596915313
352	0.2591320427
353	0.2589282233
354	0.2588738745
355	0.2583049619
356	0.2574294828
357	0.2572530064
358	0.2570057389
359	0.2567118655
360	0.2566294803
361	0.2563175657
362	0.2559596117
363	0.2554719931
364	0.2546590774
365	0.2540830431
366	0.2538380672
367	0.2536776728
368	0.2533466137
369	0.2529738512
370	0.2527526687
371	0.2526844872
372	0.252488999
373	0.2521040259
374	0.2518046254
375	0.25134335
376	0.2509052321
377	0.249969075
378	0.2491992548
379	0.2486960635
380	0.2479251088
381	0.2472281614
382	0.24706778
383	0.2465140341
384	0.2463048744
385	0.2458129073
386	0.2457268401
387	0.2453915017
388	0.2449476725
389	0.2449268101
390	0.2448570156
391	0.2448393982
392	0.2445043627
393	0.2442015302
394	0.2435664541
395	0.2432562034
396	0.2430145251
397	0.2429206434
398	0.242727225
399	0.242678182
400	0.2424534914
401	0.2420439981
402	0.2419696049
403	0.2417435399
404	0.2412420877
405	0.2409270577
406	0.2403331856
407	0.2403175338
408	0.2394736029
409	0.2392686387
410	0.2388230516
411	0.2386434686
412	0.2385301009
413	0.2379404087
414	0.2379002922
415	0.2377158342
416	0.237497867
417	0.2372196718
418	0.2370030121
419	0.236545586
420	0.2363299296
421	0.2356704264
422	0.2355463151
423	0.23552517
424	0.2351070314
425	0.2346400867
426	0.23405661
427	0.2339929902
428	0.2337488853
429	0.2333454222
430	0.2330769381
431	0.2328344904
432	0.2326983928
433	0.2325110077
434	0.232056022
435	0.2314513454
436	0.2311449785
437	0.2310221225
438	0.2308248524
439	0.2306454881
440	0.2302400385
441	0.2299095869
442	0.2297464512
443	0.2296414805
444	0.2292773176
445	0.2291082118
446	0.2288992897
447	0.228817029
448	0.2284849764
449	0.2281770104
450	0.2280767069
451	0.2279692328
452	0.2277194717
453	0.2275242557
454	0.2269788214
455	0.2267015386
456	0.2263092428
457	0.2261205222
458	0.2257938485
459	0.2257080292
460	0.2256158392
461	0.2253841229
462	0.2253729622
463	0.2249502918
464	0.2246974727
465	0.2243161121
466	0.2241776903
467	0.2238952171
468	0.2235140309
469	0.223428394
470	0.2232912534
471	0.2225002049
472	0.2222584382
473	0.2217767943
474	0.2214272091
475	0.2210874606
476	0.2208967545
477	0.2206765159
478	0.2204296117
479	0.2200511217
480	0.2200025758
481	0.2197490663
482	0.2195775226
483	0.2193453176
484	0.2189141953
485	0.218280064
486	0.2179651208
487	0.2176025096
488	0.2174467197
489	0.2173872177
490	0.2167832778
491	0.2167672076
492	0.2165606946
493	0.2165206717
494	0.2163927414
495	0.2160343785
496	0.2156160617
497	0.2153276668
498	0.2149056481
499	0.2145273449
