iter	Passed	Remaining
401	12753	3108
402	12783	3077
403	12819	3046
404	12848	3013
405	12881	2982
406	12911	2950
407	12943	2918
408	12978	2887
409	13012	2856
410	13047	2825
411	13079	2793
412	13110	2761
413	13145	2730
414	13177	2698
415	13212	2667
416	13260	2639
417	13291	2607
418	13321	2575
419	13353	2543
420	13389	2512
421	13424	2481
422	13455	2449
423	13484	2417
424	13513	2384
425	13543	2352
426	13573	2320
427	13606	2288
428	13643	2257
429	13675	2226
430	13708	2194
431	13738	2162
432	13768	2130
433	13803	2099
434	13837	2067
435	13868	2035
436	13899	2003
437	13927	1971
438	13960	1939
439	13993	1908
440	14023	1876
441	14053	1844
442	14084	1812
443	14115	1780
444	14145	1748
445	14174	1716
446	14203	1684
447	14234	1652
448	14263	1620
449	14298	1588
450	14327	1556
451	14355	1524
452	14390	1493
453	14431	1462
454	14465	1430
455	14495	1398
456	14528	1366
457	14564	1335
458	14599	1304
459	14632	1272
460	14660	1240
461	14690	1208
462	14721	1176
463	14753	1144
464	14781	1112
465	14813	1080
466	14844	1048
467	14874	1017
468	14905	985
469	14936	953
470	14966	921
471	14996	889
472	15027	857
473	15056	825
474	15086	794
475	15116	762
476	15149	730
477	15179	698
478	15209	666
479	15243	635
480	15273	603
481	15305	571
482	15337	539
483	15369	508
484	15401	476
485	15436	444
486	15467	412
487	15499	381
488	15531	349
489	15561	317
490	15592	285
491	15628	254
492	15664	222
493	15696	190
494	15732	158
495	15765	127
496	15799	95
497	15830	63
498	15862	31
499	15892	0
